0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:13 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:14 +0900] "GET /GoodeeCommunity/boardDetail?board_no=201 HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:28 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:28 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:30 +0900] "GET /GoodeeCommunity/boardDetail?board_no=201 HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:34 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:36 +0900] "GET /GoodeeCommunity/boardDetail?board_no=201 HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:37 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:39 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:18:40 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:31 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:32 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:33 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:36 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:37 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:38 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:39 +0900] "GET /GoodeeCommunity/boardDetail?board_no=201 HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:19:40 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:26:53 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:26:54 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:28:18 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:28:22 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:28:25 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:09 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:12 +0900] "GET /GoodeeCommunity/boardDetail?board_no=150 HTTP/1.1" 200 9267
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:14 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:17 +0900] "GET /GoodeeCommunity/boardDetail?board_no=222 HTTP/1.1" 200 9224
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:39 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:40 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:37:46 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:38:24 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:38:26 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:29 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:30 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:32 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:33 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8514
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:43 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8624
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:44 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8624
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:47 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9202
0:0:0:0:0:0:0:1 - - [12/Aug/2020:10:40:48 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8624
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:21:04 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:22:02 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:22:08 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:22:50 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:23:14 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:23:18 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:24:29 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8940
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:24:31 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:25:56 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:25:59 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:26:01 +0900] "POST /GoodeeCommunity/boardDetail?mboard_no=4 HTTP/1.1" 200 9166
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:26:39 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8938
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:26:39 +0900] "POST /GoodeeCommunity/boardList?mboard_no=4 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:27:22 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8938
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:27:23 +0900] "POST /GoodeeCommunity/boardList?mboard_no=4 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:29:53 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8946
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:08 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:09 +0900] "POST /GoodeeCommunity/boardList?mboard_no=4 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:15 +0900] "GET /GoodeeCommunity/boardList?curPage=2&mboard_no= HTTP/1.1" 500 4234
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:19 +0900] "POST /GoodeeCommunity/boardList?mboard_no=4 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:40 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:41 +0900] "POST /GoodeeCommunity/boardList?mboard_no=4 HTTP/1.1" 200 8405
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:50 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8948
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:51 +0900] "GET /GoodeeCommunity/boardList?mboard_no=1 HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [12/Aug/2020:11:30:53 +0900] "GET /GoodeeCommunity/index.jsp HTTP/1.1" 200 8948
